2980m at: 06/11/2017, 11:48: PM
2875m at: 07/11/2017, 03:34: AM
2980m at: 07/11/2017, 03:42: AM
2875m at: 07/11/2017, 05:36: AM
2980m at: 07/11/2017, 05:44: AM
375.8m at: 25/11/2017, 01:44: PM
375.8m at: 25/11/2017, 01:45: PM
375.8m at: 25/11/2017, 01:45: PM
751.7m at: 25/11/2017, 01:46: PM
1127m at: 25/11/2017, 01:46: PM
375.8m at: 25/11/2017, 01:47: PM
375.8m at: 25/11/2017, 01:47: PM
375.8m at: 25/11/2017, 01:48: PM
375.8m at: 25/11/2017, 01:49: PM
375.8m at: 25/11/2017, 01:49: PM
375.8m at: 25/11/2017, 01:49: PM
375.8m at: 25/11/2017, 01:50: PM
375.8m at: 25/11/2017, 01:50: PM
375.8m at: 25/11/2017, 01:50: PM
375.8m at: 25/11/2017, 01:51: PM
375.8m at: 25/11/2017, 01:51: PM
375.8m at: 25/11/2017, 01:51: PM
430.6m at: 27/11/2017, 05:11: PM
430.6m at: 27/11/2017, 05:11: PM
430.6m at: 27/11/2017, 05:11: PM
430.6m at: 27/11/2017, 05:11: PM
430.6m at: 27/11/2017, 05:11: PM
1.2m at: 03/01/2018, 04:59: PM
1.2m at: 03/01/2018, 04:59: PM
1.2m at: 03/01/2018, 05:00: PM
1.2m at: 03/01/2018, 05:00: PM
1.2m at: 03/01/2018, 05:01: PM
484k at: 13/04/2018, 10:11: AM
968k at: 13/04/2018, 10:14: AM
484k at: 13/04/2018, 10:30: AM
484k at: 13/04/2018, 10:33: AM
484k at: 13/04/2018, 10:33: AM
484k at: 13/04/2018, 10:33: AM
968k at: 13/04/2018, 10:34: AM
1.4m at: 13/04/2018, 10:36: AM
1.4m at: 13/04/2018, 10:42: AM
0 at: 28/04/2018, 07:40: PM
674.2m at: 28/04/2018, 07:40: PM
674.2m at: 28/04/2018, 07:40: PM
689.6m at: 28/04/2018, 07:40: PM
689.6m at: 28/04/2018, 07:40: PM
329.9m at: 28/04/2018, 07:40: PM
659.9m at: 28/04/2018, 07:41: PM
